,"Date","Num","P. O. #","Name","Source Name","Memo","Deliv Date","Qty","Rcv'd","Backordered","Amount","Item","Open Balance","Inventory Site"
,"08/29/2025","POD-251248",,"Neousys Technology Incorp.","Neousys Technology Incorp.","Gpubr-Nuvo9160-01  Nuvo-9160GC GPU bracket kit for RTX 4000 Ada and RTX A2000.","09/10/2025",5,0,5,25.00,"Accessory:Gpubr-Nuvo9160-01",25.00,"WH01S-NTA"
,"09/22/2025","POD-251351",,"Neousys Technology Incorp.","Neousys Technology Incorp.","Gpubr-Nuvo9160-01  Nuvo-9160GC GPU bracket kit for RTX 4000 Ada and RTX A2000.","10/16/2025",5,0,5,25.00,"Accessory:Gpubr-Nuvo9160-01",25.00,"WH01S-NTA"
"Total Gpubr-Nuvo9160-01",,,,,,,,10,0,10,50.00,,50.00,
"mPCIe-M2E",,,,,,,,,,,,,,
,"08/15/2025","POD-251164","SO-20251167","Dexterity, Inc.","Neousys Technology Incorp.","mPCIe-M2E  NGFF M.2 key E to mini-PCIe adapter.","10/01/2025",1,0,1,3.00,"Accessory:mPCIe-M2E",3.00,"WH01S-NTA"
,"08/19/2025","POD-251180","SO-20251175","Uber Technologies, Inc.","Neousys Technology Incorp.","mPCIe-M2E  NGFF M.2 key E to mini-PCIe adapter. Industrial computer accessory.","09/17/2025",20,0,20,60.00,"Accessory:mPCIe-M2E",60.00,"WH01S-NTA"
,"08/19/2025","POD-251181","SO-20251176","Uber Technologies, Inc.","Neousys Technology Incorp.","mPCIe-M2E  NGFF M.2 key E to mini-PCIe adapter. Industrial computer accessory.","09/17/2025",20,0,20,60.00,"Accessory:mPCIe-M2E",60.00,"WH01S-NTA"
,"08/19/2025","POD-251182","SO-20251177","Uber Technologies, Inc.","Neousys Technology Incorp.","mPCIe-M2E  NGFF M.2 key E to mini-PCIe adapter. Industrial computer accessory.","09/24/2025",20,0,20,60.00,"Accessory:mPCIe-M2E",60.00,"WH01S-NTA"
,"08/19/2025","POD-251183","SO-20251178","Uber Technologies, Inc.","Neousys Technology Incorp.","mPCIe-M2E  NGFF M.2 key E to mini-PCIe adapter. Industrial computer accessory.","09/17/2025",25,0,25,75.00,"Accessory:mPCIe-M2E",75.00,"WH01S-NTA"
,"08/19/2025","POD-251184","SO-20251179","Uber Technologies, Inc.","Neousys Technology Incorp.","mPCIe-M2E  NGFF M.2 key E to mini-PCIe adapter. Industrial computer accessory.","09/24/2025",20,0,20,60.00,"Accessory:mPCIe-M2E",60.00,"WH01S-NTA"
,"09/30/2025","POD-251383",,"Neousys Technology Incorp.","Neousys Technology Incorp.","mPCIe-M2E  NGFF M.2 key E to mini-PCIe adapter.","10/15/2025",10,0,10,30.00,"Accessory:mPCIe-M2E",30.00,"WH01S-NTA"
"Total mPCIe-M2E",,,,,,,,116,0,116,348.00,,348.00,
"TB-10",,,,,,,,,,,,,,
,"07/25/2025","POD-251062","SO-20251044","Cognex Corporation","Neousys Technology Incorp.","TB-10  SCSI-68 I/O terminal module for MezIO-D220/230. Industrial Computer Accessory.","12/24/2025",5,0,5,145.00,"Accessory:TB-10",145.00,"WH01S-NTA"
"Total TB-10",,,,,,,,5,0,5,145.00,,145.00,
"TB-3Pole-Push",,,,,,,,,,,,,,
,"10/01/2025","POD-251394",,"Neousys Technology Incorp.","Neousys Technology Incorp.","TB-3Pole-Push  Terminal Block in black with push-in type  MPN: Dinkle 2ESSM-03P","10/16/2025",10,0,10,20.00,"Accessory:TB-3Pole-Push",20.00,"WH01S-NTA"
"Total TB-3Pole-Push",,,,,,,,10,0,10,20.00,,20.00,
"Total Accessory",,,,,,,,1565,0,1565,8906.00,,8906.00,
"CPU",,,,,,,,,,,,,,
"7443P-1",,,,,,,,,,,,,,
,"08/15/2025","POD-251164","SO-20251167","Dexterity, Inc.","Neousys Technology Incorp.","7443P-1  AMD EPYC™ 7443P Processors (128MB Cache, up to 4.0 GHz), TDP:200W CPU, installation and...","10/01/2025",1,0,1,1382.00,"CPU:7443P-1",1382.00,"WH01S-NTA"
"Total 7443P-1",,,,,,,,1,0,1,1382.00,,1382.00,
"Core Ultra 9 285",,,,,,,,,,,,,,
,"09/23/2025","POD-251360","SO-20251341","Neousys Technology Incorp.","Neousys Technology Incorp.","Core Ultra 9 285  Intel® Core™ Ultra 9 285 Processor (36M Cache, up to 5.6 GHz), TDP:65W CPU, in...","10/01/2025",1,0,1,545.00,"CPU:Core Ultra 9 285",545.00,"WH01S-NTA"
,"09/24/2025","POD-251362","SO-20251345","Neousys Technology Incorp.","Neousys Technology Incorp.","Core Ultra 9 285  Intel® Core™ Ultra 9 285 Processor (36M Cache, up to 5.6 GHz), TDP:65W CPU, in...","10/08/2025",1,0,1,545.00,"CPU:Core Ultra 9 285",545.00,"WH01S-NTA"
"Total Core Ultra 9 285",,,,,,,,2,0,2,1090.00,,1090.00,
"E-2278GE",,,,,,,,,,,,,,
,"08/18/2025","POD-251172",,"Neousys Technology Incorp.","Neousys Technology Incorp.","E-2278GE  Intel® Xeon® E-2278GE Processor  Intel® UHD Graphics 630, 16MB, 3.30~4.40 GHz, 8-Cores...","08/27/2025",5,0,5,2565.00,"CPU:E-2278GE",2565.00,"WH01S-NTA"
,"08/28/2025","POD-251229","SO-20251228","Neousys Technology Incorp.","Neousys Technology Incorp.","E-2278GE  Intel® Xeon® E-2278GE Processor  Intel® UHD Graphics 630, 16MB, 3.30~4.40 GHz, 8-Cores...","09/12/2025",3,0,3,1539.00,"CPU:E-2278GE",1539.00,"WH02D-NTA"
,"10/01/2025","POD-251396","SO-20251390","Navico Group Americas LLC","Neousys Technology Incorp.","E-2278GE  Intel® Xeon® E-2278GE Processor  Intel® UHD Graphics 630, 16MB, 3.30~4.40 GHz, 8-Cores...","10/29/2025",1,0,1,513.00,"CPU:E-2278GE",513.00,"WH01S-NTA"
"Total E-2278GE",,,,,,,,9,0,9,4617.00,,4617.00,
"FAN-CPU-RM1",,,,,,,,,,,,,,
,"09/12/2025","POD-251314","A250289","Provantage LLC","Provantage LLC","FAN-CPU-RM1  Intel® Laminar RM1 Cooler Specifications for Intel® Core Processors 12th, 13th and ...","09/24/2025",6,0,6,0.00,"CPU:FAN-CPU-RM1",0.00,"WH01S-NTA"
,"09/30/2025","POD-251389","A250299","Newegg Business, Inc.","Newegg Business, Inc.","FAN-CPU-RM1  Intel® Laminar RM1 Cooler Specifications for Intel® Core Processors 12th, 13th and ...","10/08/2025",3,0,3,0.00,"CPU:FAN-CPU-RM1",0.00,"WH01S-NTA"
"Total FAN-CPU-RM1",,,,,,,,9,0,9,0.00,,0.00,
"i5-14500",,,,,,,,,,,,,,
,"09/03/2025","POD-251259","SO-20251249","CoastIPC, Inc.","Neousys Technology Incorp.","i5-14500  Intel® Core™ i5-14500 Processor (24M Cache, up to 5.00 GHz), TDP:65W CPU, installation...","10/31/2025",13,0,13,3159.00,"CPU:i5-14500",3159.00,"Drop Ship"
,"09/12/2025","POD-251314","A250289","Provantage LLC","Provantage LLC","i5-14500  Intel® Core™ i5-14500 Processor (24M Cache, up to 5.00 GHz), TDP:65W CPU, installation...","09/24/2025",6,0,6,1548.00,"CPU:i5-14500",1548.00,"WH01S-NTA"
"Total i5-14500",,,,,,,,19,0,19,4707.00,,4707.00,
"i5-8500T",,,,,,,,,,,,,,
,"09/22/2025","POD-251353",,"Neousys Technology Incorp.","Neousys Technology Incorp.","i5-8500T  Intel Core i5-8500T Processor (9M Cache, up to 3.50 GHz), TDP:35W CPU, installation an...","10/01/2025",1,0,1,196.00,"CPU:i5-8500T",196.00,"WH01S-NTA"
"Total i5-8500T",,,,,,,,1,0,1,196.00,,196.00,
"i7-12700",,,,,,,,,,,,,,
,"09/30/2025","POD-251389","A250299","Newegg Business, Inc.","Newegg Business, Inc.","i7-12700  Intel® Core™ i7-12700 Processor (25M Cache, up to 4.80 GHz), TDP:65W CPU, installation...","10/08/2025",3,0,3,917.22,"CPU:i7-12700",917.22,"WH01S-NTA"
"Total i7-12700",,,,,,,,3,0,3,917.22,,917.22,
"i7-14700",,,,,,,,,,,,,,
,"09/12/2025","POD-251308","SO-20251259","Candela Technologies Inc.","Neousys Technology Incorp.","i7-14700  Intel® Core™ i7-14700 Processor (33M Cache, up to 5.40 GHz), TDP:65W CPU, installation...","10/01/2025",1,0,1,387.00,"CPU:i7-14700",387.00,"WH01S-NTA"
"Total i7-14700",,,,,,,,1,0,1,387.00,,387.00,
"i7-9700E",,,,,,,,,,,,,,
,"09/08/2025","POD-251273",,"Neousys Technology Incorp.","Neousys Technology Incorp.","i7-9700E  Intel Core i7-9700E Processor (12M Cache, up to 4.40 GHz), TDP:65W CPU, installation a...","09/16/2025",10,0,10,3240.00,"CPU:i7-9700E",3240.00,"WH01S-NTA"
,"09/08/2025","POD-251278","SO-20251260","INFLEXION POINT, LLC","Neousys Technology Incorp.","i7-9700E  Intel Core i7-9700E Processor (12M Cache, up to 4.40 GHz), TDP:65W CPU, installation a...","09/24/2025",20,0,20,6480.00,"CPU:i7-9700E",6480.00,"WH01S-NTA"
"Total i7-9700E",,,,,,,,30,0,30,9720.00,,9720.00,
"i7-9700TE",,,,,,,,,,,,,,
,"05/05/2025","POD-250648","SO-20250640","Neousys Technology Incorp.","Neousys Technology Incorp.","i7-9700TE  Intel® Core™ i7-9700TE Processor (12M Cache, up to 3.80 GHz), TDP:35W CPU, installati...","10/01/2025",10,0,10,3240.00,"CPU:i7-9700TE",3240.00,"WH01S-NTA"
,"05/05/2025","POD-250649","SO-20250641","Neousys Technology Incorp.","Neousys Technology Incorp.","i7-9700TE  Intel® Core™ i7-9700TE Processor (12M Cache, up to 3.80 GHz), TDP:35W CPU, installati...","11/05/2025",10,0,10,3240.00,"CPU:i7-9700TE",3240.00,"WH01S-NTA"
,"05/05/2025","POD-250650","SO-20250642","Neousys Technology Incorp.","Neousys Technology Incorp.","i7-9700TE  Intel® Core™ i7-9700TE Processor (12M Cache, up to 3.80 GHz), TDP:35W CPU, installati...","12/03/2025",10,0,10,3240.00,"CPU:i7-9700TE",3240.00,"WH01S-NTA"
"Total i7-9700TE",,,,,,,,30,0,30,9720.00,,9720.00,
"i9-13900",,,,,,,,,,,,,,
,"09/19/2025","POD-251348","A250294r","Spectrum Sourcing","Spectrum Sourcing","i9-13900  Intel® Core™ i9-13900 Processor (36M Cache, up to 5.60 GHz), TDP:65W CPU, installation...","11/05/2025",4,0,4,2188.00,"CPU:i9-13900",2188.00,"WH01S-NTA"
"Total i9-13900",,,,,,,,4,0,4,2188.00,,2188.00,
"i9-13900E",,,,,,,,,,,,,,
,"09/04/2025","POD-251261","SO-20251248","Carnegie Robotics LLC","Neousys Technology Incorp.","i9-13900E  Intel® Core™ i9-13900E Processor (36M Cache, up to 5.20 GHz), TDP:65W CPU, installati...","10/08/2025",3,0,3,1647.00,"CPU:i9-13900E",1647.00,"WH01S-NTA"
"Total i9-13900E",,,,,,,,3,0,3,1647.00,,1647.00,
"i9-14900",,,,,,,,,,,,,,
,"06/03/2025","POD-250762","A250165","Provantage LLC","Provantage LLC","i9-14900  Intel® Core™ i9-14900 Processor (36M Cache, up to 5.80 GHz), TDP:65W CPU, installation...","06/20/2025",14,0,14,7910.00,"CPU:i9-14900",7910.00,"WH01S-NTA"
,"08/14/2025","POD-251157","SO-20251145","Near Earth Autonomy","Neousys Technology Incorp.","i9-14900  Intel® Core™ i9-14900 Processor (36M Cache, up to 5.80 GHz), TDP:65W CPU, installation...","09/03/2025",1,0,1,545.00,"CPU:i9-14900",545.00,"WH01S-NTA"
,"08/21/2025","POD-251191","SO-20251174","Near Earth Autonomy",,"i9-14900  Intel® Core™ i9-14900 Processor (36M Cache, up to 5.80 GHz), TDP:65W CPU, installation...","09/10/2025",2,0,2,1090.00,"CPU:i9-14900",1090.00,"WH01S-NTA"
,"09/01/2025","POD-251251","SO-20251236","US Army Corps of Engineers, ERDC-IEI","Neousys Technology Incorp.","i9-14900  Intel® Core™ i9-14900 Processor (36M Cache, up to 5.80 GHz), TDP:65W CPU, installation...","09/17/2025",2,0,2,1090.00,"CPU:i9-14900",1090.00,"WH01S-NTA"
,"09/08/2025","POD-251286","SO-20251153","AIM Intelligent Machines","Neousys Technology Incorp.","i9-14900  Intel® Core™ i9-14900 Processor (36M Cache, up to 5.80 GHz), TDP:65W CPU, installation...","10/01/2025",7,0,7,3815.00,"CPU:i9-14900",3815.00,"WH01S-NTA"
,"09/25/2025","POD-251369","SO-20251348","FEV North America Inc.","Neousys Technology Incorp.","i9-14900  Intel® Core™ i9-14900 Processor (36M Cache, up to 5.80 GHz), TDP:65W CPU, installation...","10/22/2025",1,0,1,545.00,"CPU:i9-14900",545.00,"WH01S-NTA"
"Total i9-14900",,,,,,,,27,0,27,14995.00,,14995.00,
"Total CPU",,,,,,,,139,0,139,51566.22,,51566.22,
"Exp- Socket Modem",,,,,,,,,,,,,,
"Risr-M2B-mPCIe-SIMslot",,,,,,,,,,,,,,
,"08/19/2025","POD-251180","SO-20251175","Uber Technologies, Inc.","Neousys Technology Incorp.","Risr-M2B-mPCIe-SIMslot  NGFF M.2 key B to mini-PCIe adapter include SIM slot for NTA. Carrier Bo...","09/17/2025",20,0,20,280.00,"Exp- Socket Modem:Risr-M2B-mPCIe-SIMslot",280.00,"WH01S-NTA"
,"08/19/2025","POD-251181","SO-20251176","Uber Technologies, Inc.","Neousys Technology Incorp.","Risr-M2B-mPCIe-SIMslot  NGFF M.2 key B to mini-PCIe adapter include SIM slot for NTA. Carrier Bo...","09/17/2025",20,0,20,280.00,"Exp- Socket Modem:Risr-M2B-mPCIe-SIMslot",280.00,"WH01S-NTA"
,"08/19/2025","POD-251182","SO-20251177","Uber Technologies, Inc.","Neousys Technology Incorp.","Risr-M2B-mPCIe-SIMslot  NGFF M.2 key B to mini-PCIe adapter include SIM slot for NTA. Carrier Bo...","09/24/2025",20,0,20,280.00,"Exp- Socket Modem:Risr-M2B-mPCIe-SIMslot",280.00,"WH01S-NTA"
,"08/19/2025","POD-251183","SO-20251178","Uber Technologies, Inc.","Neousys Technology Incorp.","Risr-M2B-mPCIe-SIMslot  NGFF M.2 key B to mini-PCIe adapter include SIM slot for NTA. Carrier Bo...","09/17/2025",25,0,25,350.00,"Exp- Socket Modem:Risr-M2B-mPCIe-SIMslot",350.00,"WH01S-NTA"
,"08/19/2025","POD-251184","SO-20251179","Uber Technologies, Inc.","Neousys Technology Incorp.","Risr-M2B-mPCIe-SIMslot  NGFF M.2 key B to mini-PCIe adapter include SIM slot for NTA. Carrier Bo...","09/24/2025",20,0,20,280.00,"Exp- Socket Modem:Risr-M2B-mPCIe-SIMslot",280.00,"WH01S-NTA"
"Total Risr-M2B-mPCIe-SIMslot",,,,,,,,105,0,105,1470.00,,1470.00,
"Total Exp- Socket Modem",,,,,,,,105,0,105,1470.00,,1470.00,
"Expansion-Module",,,,,,,,,,,,,,
"E-mPCIe-BTWifi-WT-6218_Mod_15CM",,,,,,,,,,,,,,
,"09/24/2025","POD-251363","SO-20251343","Neousys Technology Incorp.","Neousys Technology Incorp.","Extnd-mPCIeHS-BTWifi-WT-6218_Mod_Cbl-15CM_kits  (2ANT)mPCIeHS-BTWifi-WT-6218 including Extnd-mPC...","10/15/2025",1,0,1,44.00,"Expansion-Module:E-mPCIe-BTWifi-WT-6218_Mod_15CM",44.00,"WH01S-NTA"
"Total E-mPCIe-BTWifi-WT-6218_Mod_15CM",,,,,,,,1,0,1,44.00,,44.00,
"E-mPCIe-BTWifi-WT-6218_Mod_40CM",,,,,,,,,,,,,,
,"08/14/2025","POD-251157","SO-20251145","Near Earth Autonomy","Neousys Technology Incorp.","Extnd-mPCIeHS-BTWifi-WT-6218_Mod_Cbl-40CM_kits  (2ANT)mPCIeHS-BTWifi-WT-6218 including Extnd-mPC...","09/03/2025",1,0,1,44.00,"Expansion-Module:E-mPCIe-BTWifi-WT-6218_Mod_40CM",44.00,"WH01S-NTA"
,"08/21/2025","POD-251191","SO-20251174","Near Earth Autonomy",,"Extnd-mPCIeHS-BTWifi-WT-6218_Mod_Cbl-40CM_kits  (2ANT)mPCIeHS-BTWifi-WT-6218 including Extnd-mPC...","09/10/2025",2,0,2,88.00,"Expansion-Module:E-mPCIe-BTWifi-WT-6218_Mod_40CM",88.00,"WH01S-NTA"
,"09/03/2025","POD-251259","SO-20251249","CoastIPC, Inc.","Neousys Technology Incorp.","Extnd-mPCIeHS-BTWifi-WT-6218_Mod_Cbl-40CM_kits  (2ANT)mPCIeHS-BTWifi-WT-6218 including Extnd-mPC...","10/31/2025",13,0,13,572.00,"Expansion-Module:E-mPCIe-BTWifi-WT-6218_Mod_40CM",572.00,"Drop Ship"
,"09/25/2025","POD-251369","SO-20251348","FEV North America Inc.","Neousys Technology Incorp.","Extnd-mPCIeHS-BTWifi-WT-6218_Mod_Cbl-40CM_kits  (2ANT)mPCIeHS-BTWifi-WT-6218 including Extnd-mPC...","10/22/2025",1,0,1,44.00,"Expansion-Module:E-mPCIe-BTWifi-WT-6218_Mod_40CM",44.00,"WH01S-NTA"
"Total E-mPCIe-BTWifi-WT-6218_Mod_40CM",,,,,,,,17,0,17,748.00,,748.00,
"E-mPCIe-GPS-M800_Mod_40CM",,,,,,,,,,,,,,
,"09/25/2025","POD-251369","SO-20251348","FEV North America Inc.","Neousys Technology Incorp.","Extnd-mPCIeHS_GPS-M800_Mod_Cbl-40CM_kits  (1ANT)mPCIeHS-GPS-M800 including Extnd-mPCIeHS, Cbl-MH...","10/22/2025",1,0,1,36.00,"Expansion-Module:E-mPCIe-GPS-M800_Mod_40CM",36.00,"WH01S-NTA"
"Total E-mPCIe-GPS-M800_Mod_40CM",,,,,,,,1,0,1,36.00,,36.00,
"M.2-LTE-7455",,,,,,,,,,,,,,
,"08/19/2025","POD-251180","SO-20251175","Uber Technologies, Inc.","Neousys Technology Incorp.","M.2-LTE-7455  Sierra Mini-PCIe LTE M.2 Module EM7455, 4G-LTE module with an integrated GPS and G...","09/17/2025",20,0,20,2560.00,"Expansion-Module:M.2-LTE-7455",2560.00,"WH01S-NTA"
,"08/19/2025","POD-251181","SO-20251176","Uber Technologies, Inc.","Neousys Technology Incorp.","M.2-LTE-7455  Sierra Mini-PCIe LTE M.2 Module EM7455, 4G-LTE module with an integrated GPS and G...","09/17/2025",20,0,20,2560.00,"Expansion-Module:M.2-LTE-7455",2560.00,"WH01S-NTA"
,"08/19/2025","POD-251182","SO-20251177","Uber Technologies, Inc.","Neousys Technology Incorp.","M.2-LTE-7455  Sierra Mini-PCIe LTE M.2 Module EM7455, 4G-LTE module with an integrated GPS and G...","09/24/2025",20,0,20,2560.00,"Expansion-Module:M.2-LTE-7455",2560.00,"WH01S-NTA"
,"08/19/2025","POD-251183","SO-20251178","Uber Technologies, Inc.","Neousys Technology Incorp.","M.2-LTE-7455  Sierra Mini-PCIe LTE M.2 Module EM7455, 4G-LTE module with an integrated GPS and G...","09/17/2025",25,0,25,3200.00,"Expansion-Module:M.2-LTE-7455",3200.00,"WH01S-NTA"
,"08/19/2025","POD-251184","SO-20251179","Uber Technologies, Inc.","Neousys Technology Incorp.","M.2-LTE-7455  Sierra Mini-PCIe LTE M.2 Module EM7455, 4G-LTE module with an integrated GPS and G...","09/24/2025",20,0,20,2560.00,"Expansion-Module:M.2-LTE-7455",2560.00,"WH01S-NTA"
"Total M.2-LTE-7455",,,,,,,,105,0,105,13440.00,,13440.00,
"M.230-BTWIFI-AX210",,,,,,,,,,,,,,
,"08/19/2025","POD-251180","SO-20251175","Uber Technologies, Inc.","Neousys Technology Incorp.","M.230-BTWIFI-AX210  Intel AX210 802.11ac/a/b/d/e/g/h/i/k/n/r/u/v/w/ac/ax WiFi6 + BT5.3 M.2 2230 ...","09/17/2025",20,0,20,680.00,"Expansion-Module:M.230-BTWIFI-AX210",680.00,"WH01S-NTA"
,"08/19/2025","POD-251181","SO-20251176","Uber Technologies, Inc.","Neousys Technology Incorp.","M.230-BTWIFI-AX210  Intel AX210 802.11ac/a/b/d/e/g/h/i/k/n/r/u/v/w/ac/ax WiFi6 + BT5.3 M.2 2230 ...","09/17/2025",20,0,20,680.00,"Expansion-Module:M.230-BTWIFI-AX210",680.00,"WH01S-NTA"
,"08/19/2025","POD-251182","SO-20251177","Uber Technologies, Inc.","Neousys Technology Incorp.","M.230-BTWIFI-AX210  Intel AX210 802.11ac/a/b/d/e/g/h/i/k/n/r/u/v/w/ac/ax WiFi6 + BT5.3 M.2 2230 ...","09/24/2025",20,0,20,680.00,"Expansion-Module:M.230-BTWIFI-AX210",680.00,"WH01S-NTA"
,"08/19/2025","POD-251183","SO-20251178","Uber Technologies, Inc.","Neousys Technology Incorp.","M.230-BTWIFI-AX210  Intel AX210 802.11ac/a/b/d/e/g/h/i/k/n/r/u/v/w/ac/ax WiFi6 + BT5.3 M.2 2230 ...","09/17/2025",25,0,25,850.00,"Expansion-Module:M.230-BTWIFI-AX210",850.00,"WH01S-NTA"
,"08/19/2025","POD-251184","SO-20251179","Uber Technologies, Inc.","Neousys Technology Incorp.","M.230-BTWIFI-AX210  Intel AX210 802.11ac/a/b/d/e/g/h/i/k/n/r/u/v/w/ac/ax WiFi6 + BT5.3 M.2 2230 ...","09/24/2025",20,0,20,680.00,"Expansion-Module:M.230-BTWIFI-AX210",680.00,"WH01S-NTA"
,"09/17/2025","POD-251333","SO-20251311","The Alliance","Neousys Technology Incorp.","M.230-BTWIFI-AX210  Intel AX210 802.11ac/a/b/d/e/g/h/i/k/n/r/u/v/w/ac/ax WiFi6 + BT5.3 M.2 2230 ...","10/01/2025",10,0,10,340.00,"Expansion-Module:M.230-BTWIFI-AX210",340.00,"WH01S-NTA"
,"09/30/2025","POD-251383",,"Neousys Technology Incorp.","Neousys Technology Incorp.","M.230-BTWIFI-AX210  Intel AX210 802.11ac/a/b/d/e/g/h/i/k/n/r/u/v/w/ac/ax WiFi6 + BT5.3 M.2 2230 ...","10/15/2025",5,0,5,170.00,"Expansion-Module:M.230-BTWIFI-AX210",170.00,"WH01S-NTA"
"Total M.230-BTWIFI-AX210",,,,,,,,120,0,120,4080.00,,4080.00,
"mPCIe-Ado-AX92905",,,,,,,,,,,,,,
,"07/25/2025","POD-251062","SO-20251044","Cognex Corporation","Neousys Technology Incorp.","mPCIe-Ado-AX92905  Full Size PCI Express Mini Module with Audio and Half-size PCI Express Mini C...","12/24/2025",5,0,5,170.00,"Expansion-Module:mPCIe-Ado-AX92905",170.00,"WH01S-NTA"
,"07/25/2025","POD-251062","SO-20251044","Cognex Corporation","Neousys Technology Incorp.","mPCIe-Ado-AX92905  Full Size PCI Express Mini Module with Audio and Half-size PCI Express Mini C...","12/24/2025",5,0,5,170.00,"Expansion-Module:mPCIe-Ado-AX92905",170.00,"WH01S-NTA"
"Total mPCIe-Ado-AX92905",,,,,,,,10,0,10,340.00,,340.00,
"mPCIe-COM-2RS232-X203",,,,,,,,,,,,,,
,"10/01/2025","POD-251396","SO-20251390","Navico Group Americas LLC","Neousys Technology Incorp.","mPCIe-COM-2RS232-X203  Full size mini-PCIe card with 2x RS-232 module.  MPN Innodisk EMP2-X203-W1","10/29/2025",1,0,1,47.00,"Expansion-Module:mPCIe-COM-2RS232-X203",47.00,"WH01S-NTA"
"Total mPCIe-COM-2RS232-X203",,,,,,,,1,0,1,47.00,,47.00,
"mPCIe-COM-2RS422/485-X202",,,,,,,,,,,,,,
,"08/14/2025","POD-251157","SO-20251145","Near Earth Autonomy","Neousys Technology Incorp.","mPCIe-COM-2RS422/485-X202  Full size miniPCIe card with 2x RS-422/485. Industrial computer acces...","09/03/2025",1,0,1,42.00,"Expansion-Module:mPCIe-COM-2RS422/485-X202",42.00,"WH01S-NTA"
,"08/21/2025","POD-251191","SO-20251174","Near Earth Autonomy",,"mPCIe-COM-2RS422/485-X202  Full size miniPCIe card with 2x RS-422/485. Industrial computer acces...","09/10/2025",2,0,2,84.00,"Expansion-Module:mPCIe-COM-2RS422/485-X202",84.00,"WH01S-NTA"
"Total mPCIe-COM-2RS422/485-X202",,,,,,,,3,0,3,126.00,,126.00,
"mPCIe-COM-4RS232/422/485-X404",,,,,,,,,,,,,,
,"09/04/2025","POD-251261","SO-20251248","Carnegie Robotics LLC","Neousys Technology Incorp.","mPCIe-COM-4RS232/422/485-X404  Full size miniPCIe card with 4x RS-232/422/485.  MPN: Innodisk EM...","10/08/2025",3,0,3,204.00,"Expansion-Module:mPCIe-COM-4RS232/422/485-X404",204.00,"WH01S-NTA"
"Total mPCIe-COM-4RS232/422/485-X404",,,,,,,,3,0,3,204.00,,204.00,
"mPCIeHS-BTWifi-WT-6218",,,,,,,,,,,,,,
,"08/29/2025","POD-251244",,"Neousys Technology Incorp.","Neousys Technology Incorp.","mPCIeHS-BTWifi-WT-6218  802.11ac/a/b/g/n, 2T2R WiFi + BT4.2 half size mini-PCIe module, -40 ~ 85...","09/10/2025",20,15,5,480.00,"Expansion-Module:mPCIeHS-BTWifi-WT-6218",120.00,"WH01S-NTA"
"Total mPCIeHS-BTWifi-WT-6218",,,,,,,,20,15,5,480.00,,120.00,
"Total Expansion-Module",,,,,,,,281,15,266,19545.00,,19185.00,
"Expansion-PCIe",,,,,,,,,,,,,,
"Cbl-RAID-9540-4i",,,,,,,,,,,,,,
,"08/15/2025","POD-251164","SO-20251167","Dexterity, Inc.","Neousys Technology Incorp.","Cbl-RAID-9540-4i  RAID cable(4i) for 9540-8i","10/01/2025",1,0,1,10.00,"Expansion-PCIe:Cbl-RAID-9540-4i",10.00,"WH01S-NTA"
"Total Cbl-RAID-9540-4i",,,,,,,,1,0,1,10.00,,10.00,
"mPCIe-CAN-IPEH-3049",,,,,,,,,,,,,,
,"09/30/2025","POD-251388","A250298","PhyTools","PhyTools","mPCIe-CAN-IPEH-3049  CAN bus Mini PCI Express, two CAN bus ports with DB9 connectors. Operating ...","10/07/2025",2,0,2,696.60,"Expansion-PCIe:mPCIe-CAN-IPEH-3049",696.60,"WH01S-NTA"
"Total mPCIe-CAN-IPEH-3049",,,,,,,,2,0,2,696.60,,696.60,
"mPCIe-CAN-IPEH-4047",,,,,,,,,,,,,,
,"10/01/2025","POD-251402","A250303","PhyTools","PhyTools","mPCIe-CAN-IPEH-4047  CANBus Card supports mPCIe interface. Four-channels CANBus module with DB9 ...","10/09/2025",1,0,1,436.50,"Expansion-PCIe:mPCIe-CAN-IPEH-4047",436.50,"WH01S-NTA"
"Total mPCIe-CAN-IPEH-4047",,,,,,,,1,0,1,436.50,,436.50,
"mPCIe-DIO-0D01",,,,,,,,,,,,,,
,"08/14/2025","POD-251157","SO-20251145","Near Earth Autonomy","Neousys Technology Incorp.","mPCIe-DIO-0D01  mPCIe to 32bit DIO Module","09/03/2025",1,0,1,37.00,"Expansion-PCIe:mPCIe-DIO-0D01",37.00,"WH01S-NTA"
,"08/21/2025","POD-251191","SO-20251174","Near Earth Autonomy",,"mPCIe-DIO-0D01  mPCIe to 32bit DIO Module","09/10/2025",2,0,2,74.00,"Expansion-PCIe:mPCIe-DIO-0D01",74.00,"WH01S-NTA"
"Total mPCIe-DIO-0D01",,,,,,,,3,0,3,111.00,,111.00,
"Total Expansion-PCIe",,,,,,,,7,0,7,1254.10,,1254.10,
"Frame Grabber Card",,,,,,,,,,,,,,
"PCIe-10G550X",,,,,,,,,,,,,,
,"09/24/2025","POD-251366","SO-20251351","CoastIPC, Inc.","Neousys Technology Incorp.","PCIe-10G550X  2-port 10GbE Network Adapter. Industrial Computer Accessory.","10/10/2025",5,0,5,1125.00,"Frame Grabber Card:PCIe-10G550X",1125.00,"Drop Ship"
"Total PCIe-10G550X",,,,,,,,5,0,5,1125.00,,1125.00,
"PCIe-PoE352at",,,,,,,,,,,,,,
